question,ground_truth
"What is the price of M-Sand?","The price of M-Sand is ₹1,250 per Cum."
"How much M-Sand was purchased?","10 Cum of M-Sand was purchased."
"What is the total amount for M-Sand?","The total amount for M-Sand is ₹12,500."
"What is the rate of 12mm TMT Bars?","The rate of 12mm TMT Bars is ₹68 per Kg."
"What is the rate of 20mm TMT Bars?","The rate of 20mm TMT Bars is ₹67 per Kg."
"What is the total invoice amount?","The total invoice amount is ₹2,81,800."
"What is the CGST amount on the invoice?","The CGST amount is ₹25,470."
"What is the SGST amount on the invoice?","The SGST amount is ₹25,470."
"What is the P-Sand rate?","The P-Sand rate is ₹1,100 per Cum."
"What is the quantity of 20mm Aggregate?","The quantity of 20mm Aggregate is 20 Cum."
"What was the Mathematics score?","The Mathematics score was 79 out of 100."
"What was the total marks obtained?","The total marks obtained were 483 out of 650."
"What was the percentage obtained?","The percentage obtained was 53.37%."
"What was the Computer theory score?","The Computer theory score was 73 out of 100."
"What is level 1 of Bloom's Taxonomy?","Level 1 of Bloom's Taxonomy is Remember."
"What is level 6 of Bloom's Taxonomy?","Level 6 of Bloom's Taxonomy is Create."
"What was the candidate's state final rank?","The state final rank was 14297."
"What program was allotted to the candidate?","The allotted program was Electrical Engineering."
